No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
72,T,US00206R1023,AT & T INC,30600,114147523.00000001,0.0024312248765291484
73,MRVL,US5738741041,MARVELL TECHNOLOGY INC,3850,113420908.00000001,0.0024157487241148797
74,QCOM,US7475251036,QUALCOMM INC,4640,113054305,0.0024079404571460883
75,BLK,US09290D1019,BLACKROCK INC,635,112096567,0.0023875416224661866
76,DE,US2441991054,DEERE & COMPANY,1105,106463234,0.002267557421605581
77,ETN,IE00B8KQN827,EATON CORP PLC,1708,106205081.00000001,0.0022620590281314575
78,BKNG,US09857L1089,BOOKING HOLDINGS INC,3405,105750899.00000001,0.0022523854185090065
79,CRM,US79466L3024,SALESFORCE INC,3600,104557360,0.002226964264973263
80,COP,US20825C1045,CONOCOPHILLIPS,5360,102539489.00000001,0.0021839856873932073
81,UBER,US90353T1007,UBER TECHNOLOGIES INC,8950,101223304.00000001,0.0021559523001587378
82,PFE,US7170811035,PFIZER INC,25120,100568804,0.0021420121230977924
83,PLD,US74340W1036,PROLOGIS INC,4099,96308697,0.0020512762241236553
84,CVS,US1266501006,CVS HEALTH CORP,5610,94870477.00000001,0.0020206436168622457
85,BMY,US1101221083,BRISTOL-MYERS SQUIBB CO,8980,93610207,0.0019938011616374976
86,COF,US14040H1059,CAPITAL ONE FINANCIAL CORP,2740,92539940.00000001,0.0019710055749568457
87,CB,CH0044328745,CHUBB LTD,1590,89479012,0.0019058109557195573
88,SPGI,US78409V1044,S&P GLOBAL INC,1336,89109597,0.0018979427960419879
89,ISRG,US46120E6023,INTUITIVE SURGICAL INC,1558,88384309.00000001,0.0018824949073633344
90,PGR,US7433151039,PROGRESSIVE CO,2570,88095389.00000001,0.001876341208423001
91,DHR,US2358511028,DANAHER CORP,2770,87333785,0.0018601198262834678
92,VRTX,US92532F1003,VERTEX PHARMACEUTICALS,1114,86244570.00000001,0.001836920666684633
93,PH,US7010941042,PARKER HANNIFIN CORP,555,85880483,0.0018291659879289591
94,SBUX,US8552441094,STARBUCKS CORP,5010,85231182.00000001,0.001815336544222544
95,SYK,US8636671013,STRYKER CORP,1514,84688601.00000001,0.0018037801267895344
96,DELL,US24703L2025,DELL TECHNOLOGIES-C,1277,83082978,0.0017695820077473245
97,LOW,US5486611073,LOWES COS INC,2460,83059582.00000001,0.001769083697002454
98,LMT,US5398301094,LOCKHEED MARTIN,891,82213425.00000001,0.0017510614228980106
99,NOW,US81762P1021,SERVICENOW INC,4540,80314645,0.001710619361171835
100,MO,US02209S1033,ALTRIA GROUP INC,7350,80256978.00000001,0.0017093911133634725
101,HWM,US4432011082,HOWMET AEROSPACE INC,1760,78433417.00000001,0.0016705511389991721
102,MDT,IE00BTN1Y115,MEDTRONIC PLC,5650,77830508,0.001657709797193767
103,APP,US03831W1080,APPLOVIN CORP-CLASS A,1180,76593784.00000001,0.0016313688475596642
104,BNY,US0640581007,BANK OF NEWYORK MELLON CORP,3020,75757236.00000001,0.0016135512352755089
105,SO,US8425871071,SOUTHERN CO.,4960,75205131.00000001,0.0016017919664348163
106,GLW,US2193501051,CORNING INC,3450,74977326,0.0015969399541577059
107,ADP,US0530151036,AUTOMATIC DATA PROCESS,1760,74640168.00000001,0.001589758835414369
108,MCK,US58155Q1031,MCKESSON CORP,529,73586422.00000001,0.0015673151290472752
109,EQIX,US29444U7000,EQUINIX INC,434,73067815.00000001,0.0015562693331648524
110,NEM,US6516391066,NEWMONT CORP,4700,72335572.00000001,0.00154067331013714
111,ADBE,US00724F1012,ADOBE INC,1780,70919629,0.0015105151800711258
112,ACN,IE00B4BNMY34,ACCENTURE PLC-CL A,2700,70858716,0.0015092177958002115
113,PNC,US6934751057,PNC FINANCIAL,1770,70751628,0.0015069369315051733
114,PWR,US74762E1029,QUANTA SERVICES INC,660,69795360,0.0014865694063138579
115,DUK,US26441C2044,DUKE ENERGY CORP,3430,69608812,0.001482596125717425
116,USB,US9029733048,US BANCORP,6830,69046437.00000001,0.0014706181164360669
117,TT,IE00BK9ZQ967,TRANE TECHNOLOGIES PLC,974,68921995,0.001467967629783938
118,GD,US3695501086,GENERAL DYNAMICS,1115,68491310,0.0014587944821025122
119,CME,US12572Q1058,CME GROUP INC,1590,68286681.00000001,0.001454436094796471
120,FTNT,US34959E1091,FORTINET INC,2740,67927504.00000001,0.0014467859939924692
121,BX,US09260D1072,BLACKSTONE INC,3270,67307752,0.0014335859136045774
122,CSX,US1264081035,CSX CORP,8190,66064936,0.0014071152106341024
123,VLO,US91913Y1001,VALERO ENERGY CORP,1310,65628421,0.0013978178899469236
124,MRSH,US5717481023,MARSH & MCLENNAN COS,2120,65252513.00000001,0.00138981143604528
125,CDNS,US1273871087,CADENCE DESIGN SYS INC,1218,65151831.00000001,0.0013876670129637674
126,MMM,US88579Y1010,3M CORP,2290,64802352.00000001,0.0013802234695885463
127,MPC,US56585A1025,MARATHON PETROLEUM CORP,1280,64613040.00000001,0.001376191318633983
128,FCX,US35671D8570,FREEPORT-MCMORAN INC,6320,64439205.00000001,0.0013724888118663904
129,DDOG,US23804L1035,DATADOG INC - CLASS A,1460,63017926,0.001342217030486706
130,ICE,US45866F1049,INTERCONTINENTAL EXCHANGE INC,2490,62538129,0.0013319978477008994
131,JCI,IE00BY7QL619,JOHNSON CONTROLS INTERNATIONAL PLC,2680,61973375.00000001,0.0013199691681655642
132,VRT,US92537N1081,VERTIV HOLDINGS CO,1690,61792822,0.0013161235749052356
133,CMI,US2310211063,CUMMINS INC,607,61751655.00000001,0.0013152467601320228
134,INTU,US4612021034,INTUIT INC,1217,61710614,0.0013143726290292597
135,WMB,US9694571004,WILLIAMS COS,5380,61314005.00000001,0.00130592526511182
136,CEG,US21037T1097,CONSTELLATION ENERGY,1410,59726702.00000001,0.0012721173432334858
137,CMCSA,US20030N1019,COMCAST CORP-CL A,15700,59726606.00000001,0.0012721152985321904
138,PSX,US7185461040,PHILLIPS 66,1760,59571832.00000001,0.0012688187714665973
139,WM,US94106L1098,WASTE MANAGEMENT INC,1630,59292485.00000001,0.0012628689675835661
140,EMR,US2910111044,EMERSON ELEC,2460,58767975.00000001,0.001251697443870447
141,MAR,US5719032022,MARRIOTT INTERNATIONAL-CLA,960,57933260.00000001,0.0012339188726016512
142,ELV,US0367521038,ELEVANCE HEALTH INC,956,57833228,0.0012317882938518258
143,ROST,US7782961038,ROSS STORES INC,1420,57642132.00000001,0.0012277181455315229
144,AMT,US03027X1000,AMERICAN TOWER CORP REIT,2045,57340187,0.0012212870274831392
145,MDLZ,US6092071058,MONDELEZ INTERNATIONAL INC,5650,57280929,0.001220024893010599
146,TMUS,US8725901040,T-MOBILE US INC,2050,57111370,0.0012164134606465397
147,RCL,LR0008862868,ROYAL CARIBBEAN CRUISES LTD,1100,56916416,0.001212261140892927
148,TRV,US89417E1091,TRAVELERS COS INC/THE,940,56803366,0.0012098532921278546
149,GM,US37045V1008,GENERAL MOTORS CO,3970,56404363,0.00120135493847186
150,SHW,US8243481061,SHERWIN-WILLIAMS,1011,56032334.00000001,0.0011934311032819344
151,UPS,US9113121068,UNITED PARCEL SERVICE-CL B,3280,55494302.00000001,0.0011819715748717671
152,AON,IE00BLP1HW54,AON PLC,937,55203477.00000001,0.0011757773013901026
153,EOG,US26875P1012,EOG RESOURCES INC,2340,54724099,0.0011655670428734916
154,HON,US4385162056,HONEYWELL INTERNATIONAL INC,1395,54237286.00000001,0.0011551984265013452
155,CI,US1255231003,THE CIGNA GROUP,1160,53629950,0.0011422627941476608
156,SPG,US8288061091,SIMON PROPERTY GROUP INC,1430,52961933,0.0011280347188845263
157,NSC,US6558441084,NORFOLK SOUTHERN CORP,985,52864191,0.0011259529147801858
158,DASH,US25809K1051,DOORDASH INC-A,1660,52700056,0.0011224570080393176
159,ITW,US4523081093,ILLINOIS TOOL WORKS INC,1150,52435704.00000001,0.0011168265822388364
160,REGN,US75886F1075,REGENERON PHARMACEUTICALS,440,52213042.00000001,0.0011120841105738337
161,CL,US1941621039,COLGATE PALMOLIVE CO.,3520,51821271.00000001,0.001103739791082094
162,HLT,US43300A2033,HILTON WORLDWIDE HOLDINGS IN,1000,51755054.00000001,0.001102329437064608
163,SLB,AN8068571086,SLB LTD,6580,51724164.00000001,0.0011016715118248638
164,MCO,US6153691059,MOODYS CORP,665,51543370,0.001097820785512325
165,ORLY,US67103H1077,"OREILLY AUTOMOTIVE INC,",3650,51247822,0.0010915259169867204
166,MSI,US6200763075,MOTOROLA SOLUTIONS INC,726,50269249,0.0010706833182287975
167,NOC,US6668071029,NORTHROP GRUMMAN CORP,584,50201278.00000001,0.0010692356058147267
168,SNPS,US8716071076,SYNOPSYS INC,838,50146655.00000001,0.001068072192076606
169,PCAR,US6937181088,PACCAR,2320,49875145,0.0010622893082357849
170,ECL,US2788651006,ECOLAB INC,1110,49834033,0.0010614136649060224
171,CTAS,US1729081059,CINTAS CORP,1492,49587051.00000001,0.0010561532022461807
172,TDG,US8936411003,TRANSDIGM GROUP INC,246,49417842,0.0010525492245222609
173,KKR,US48251W1045,KKR & CO INC-A,3040,49337697.00000001,0.0010508422184251649
174,MNST,US61174X1090,MONSTER BEVERAGE CORP,3140,49280127.00000001,0.0010496160366170691
175,AEP,US0255371017,AMERICAN ELECTRIC POWER,2390,49082956.00000001,0.0010454164970429155
176,HOOD,US7707001027,ROBINHOOD MARKETS INC -A,3480,48435865,0.001031634124064238
177,ALL,US0200021014,ALLSTATE CORP,1130,48196617,0.0010265383876525084
178,BSX,US1011371077,BOSTON SCIENTIFIC CORP,6490,47981349.00000001,0.0010219534005851969
179,FDX,US31428X1063,FEDEX CORPORATION,967,47953681,0.00102136410063268
180,DLR,US2538681030,DIGITAL REALTY TRUST INC,1530,47505730,0.0010118232049036845
181,APD,US0091581068,AIR PRODUCTS,983,47427926,0.001010166059699636
182,URI,US9113631090,UNITED RENTALS INC,276,47403059.00000001,0.0010096364181672074
183,AJG,US3635761097,ARTHUR J GALLAGHER & CO,1130,46576624,0.0009920342023851411
184,TGT,US87612E1064,TARGET CORP,2000,46451294.00000001,0.00098936480224603
185,HONA,US43849R1059,HONEYWELL AEROSPACE,1395,45809443.00000001,0.0009756940358797278
186,MPWR,US6098391054,MONOLITHIC POWER SYSTEMS INC,216,45691873,0.000973189915761996
187,TFC,US89832Q1094,TRUIST FINANCIAL CORP,5440,45473217.00000001,0.0009685327677781336
188,CRH,IE0001827041,CRH PLC,2940,45361613,0.0009661557173263233
189,ABNB,US0090661010,AIRBNB INC-CLASS A,1840,44973828.00000001,0.0009578962955362872
190,WBD,US9344231041,WARNER BROS DISCOVERY INC,10900,44619569,0.0009503509430757319
191,HPE,US42824C1099,HEWLETT PACKARD ENTERPRISE,5830,44170067,0.0009407770126414323
192,KMI,US49456B1017,KINDER MORGAN INC,8600,43760199,0.0009320472456565347
193,NXPI,NL0009538784,NXP SEMICONDUCTORS NV,1108,43657544.00000001,0.0009298607997036068
194,D,US25746U1097,DOMINION ENERGY INC,3870,43371112.00000001,0.0009237600926051795
195,HCA,US40412C1018,HCA HEALTHCARE INC,680,43255731.00000001,0.0009213025959367778
196,COR,US03073E1055,CENCORA INC,860,43156181,0.0009191822832913734
197,TEL,IE000IVNQZ81,TE CONNECTIVITY PLC,1280,42497968,0.0009051630231480335
198,O,US7561091049,REALTY INCOME CORP,4100,42456277.00000001,0.000904275047713583
199,FIX,US1999081045,COMFORT SYSTEMS USA INC,155,42295911.00000001,0.0009008594167975318
200,BKR,US05722G1004,BAKER HUGHES CO,4390,42263092,0.0009001604058411326
201,CTVA,US22052L1044,CORTEVA INC,2940,42214651,0.0008991286623468481
202,GWW,US3848021040,GRAINGER(W.W.) INC,191,41610181,0.0008862540728464208
203,SRE,US8168511090,SEMPRA,2880,41464217.00000001,0.000883145189722626
204,AFL,US0010551028,AFLAC INC,2020,41347984.00000001,0.0008806695463302274
205,NUE,US6703461052,NUCOR CORP,1000,41311469.00000001,0.0008798918143739548
206,F,US3453708600,FORD MOTOR COMPANY,17200,41078746,0.000874935053753398
207,DAL,US2473617023,DELTA AIR LINES INC,2870,40863590,0.0008703524521709308
208,TRGP,US87612G1013,TARGA RESOURCES CORP,940,40539949,0.0008634592316297828
209,TER,US8807701029,TERADYNE INC,690,40531671.00000001,0.0008632829187409967
210,OKE,US6826801036,ONEOK INC,2770,39653465,0.0008445780338884611
211,APO,US03769M1062,APOLLO GLOBAL MANAGEMENT INC,2030,39232957,0.0008356216458433212
212,AME,US0311001004,AMETEK INC,1010,38960151.00000001,0.0008298111585350124
213,LITE,US55024U1097,LUMENTUM HOLDINGS INC,342,38104796.00000001,0.0008115929764877017
214,FAST,US3119001044,FASTENAL CO,5080,38095912,0.0008114037564219881
215,PSA,US74460D1090,PUBLIC STORAGE,740,37755217.00000001,0.000804147303215298
216,KEYS,US49338L1035,KEYSIGHT TECHNOLOGIES INC,750,37691653.00000001,0.0008027934553700697
217,CAH,US14149Y1082,CARDINAL HEALTH INC,1030,37589531.00000001,0.0008006183617691256
218,CIEN,US1717793095,CIENA CORPORATION,623,37254833,0.0007934896384964834
219,ROK,US7739031091,ROCKWELL AUTOMATION INC,492,37244758,0.0007932750513553237
220,MET,US59156R1086,METLIFE INC,2380,37130595,0.0007908434968346076
221,DVN,US25179M1036,DEVON ENERGY CORP,5120,36346892.00000001,0.0007741514287166642
222,FITB,US3167731005,FIFTH THIRD BANCORP,3990,36289628,0.0007729317643939476
223,STT,US8574771031,STATE STREET CORP,1220,35847053.00000001,0.0007635053719374956
224,LHX,US5024311095,L3HARRIS TECHNOLOGIES INC,820,35833810,0.000763223309653587
225,NKE,US6541061031,NIKE INC-B,5260,35751425,0.0007614685938595977
226,PYPL,US70450Y1038,PAYPAL HOLDINGS INC,3850,35672206,0.0007597813106104135
227,EBAY,US2786421030,EBAY INC,1950,35577622.00000001,0.0007577667686591037
228,EW,US28176E1082,EDWARDS LIFESCIENCES CORP,2530,35343549,0.00075278125442658
229,WAB,US9297401088,WABTEC CORP,750,35253128,0.0007508553800949868
230,ADSK,US0527691069,AUTODESK INC.,930,35120872,0.0007480384632769999
231,ETR,US29364G1031,ENTERGY CORP,2010,34898789.00000001,0.0007433083237166854
232,AZO,US0533321024,AUTOZONE,72,34791547.00000001,0.0007410241793799859
233,CMG,US1696561059,CHIPOTLE MEXICAN GRILL INC,5600,34669233,0.0007384190169399056
234,XEL,US98389B1008,XCEL ENERGY INC,2750,34576095,0.0007364352733018577
235,GRMN,CH0114405324,GARMIN LTD,720,34432010.00000001,0.0007333664109461262
236,COHR,US19247G1076,COHERENT CORP,860,34424874.00000001,0.0007332144214831669
237,AMP,US03076C1062,AMERIPRISE FINANCIAL INC,392,34302200,0.0007306015914132288
238,CARR,US14448C1045,CARRIER GLOBAL CORP,3430,33842441,0.000720809197424897
239,EA,US2855121099,ELECTRONIC ARTS,990,33348452.000000004,0.000710287739630918
240,VST,US92840M1027,VISTRA CORP,1390,33201827.000000004,0.0007071647778867452
241,EXC,US30161N1019,EXELON CORPORATION,4480,32818767.000000004,0.0006990059937385929
242,BDX,US0758871091,"BECTON,DICKINSON",1210,32175260,0.0006852999562749445
243,VTR,US92276F1003,VENTAS INC,2140,31615038.000000004,0.0006733678036799302
244,IDXX,US45168D1046,IDEXX LABORATORIES INC,352,31613238.000000004,0.0006733294655306412
245,XYZ,US8522341036,BLOCK INC,2350,31193582,0.0006643912242094982
246,HUM,US4448591028,HUMANA INC,529,31173756,0.0006639689507940508
247,CVNA,US1468691027,CARVANA CO,3155,31154479.000000004,0.0006635583705141367
248,CBRE,US12504L1098,CBRE GROUP INC,1290,30987362,0.0006599989502392795
249,TTWO,US8740541094,TAKE-TWO INTERACTIVE SOFTWARE INC,770,30620551.000000004,0.0006521862530843484
250,YUM,US9884981013,YUM BRANDS INC,1210,30531978.000000004,0.0006502997392526921
251,KDP,US49271V1008,KEURIG DR PEPPER INC,6000,30443582.000000004,0.0006484169953390491
252,AXON,US05464C1018,AXON ENTERPRISE INC,359,30309012,0.0006455507927002539
253,PRU,US7443201022,PRUDENTIAL FINANCIAL INC,1530,30189339.000000004,0.0006430018808447696
254,NDAQ,US6311031081,NASDAQ INC,1970,30129407,0.0006417253908652178
255,MSCI,US55354G1004,MSCI INC,325,30073203.000000004,0.0006405283034526383
256,RSG,US7607591002,REPUBLIC SERVICES INC-CL A,880,29889163.000000004,0.0006366084406775484
257,AIG,US0268747849,AMERICAN INTL GROUP,2330,29542538.000000004,0.0006292256845679224
258,FLEX,SG9999000020,FLEX LTD,1620,29137604.000000004,0.0006206010067100205
259,MCHP,US5950171042,MICROCHIP TECHNOLOGY,2380,28692345.000000004,0.000611117447813184
260,OXY,US6745991058,OCCIDENTAL PETE CORP,3190,28685386,0.000610969228268238
261,SYY,US8718291078,SYSCO CORP,2100,28590642.000000004,0.0006089512784814357
262,ED,US2091151041,CONSOLIDATED EDISON INC,1620,28551779,0.0006081235365393126
263,IBKR,US45841N1072,INTERACTIVE BROKERS GRO-CL A,1960,28502213,0.0006070678317017222
264,UAL,US9100471096,UNITED AIRLINES HOLDINGS INC,1430,28397745.000000004,0.0006048427707128715
265,IQV,US46266C1053,IQVIA HOLDINGS INC,730,27898854.000000004,0.0005942169053589952
266,HIG,US4165151048,HARTFORD INSURANCE GROUP INC,1210,27819105,0.0005925183336547426
267,PCG,US69331C1080,PG&E CORP,9700,27718736,0.0005903805771514118
268,ODFL,US6795801009,OLD DOMINION FREIGHT LINE,810,27660024,0.0005891300719174893
269,A,US00846U1016,AGILENT TECHNOLOGIES INC,1240,27643904,0.0005887867324916338
270,ROP,US7766961061,ROPER TECHNOLOGIES INC,440,27526514.000000004,0.0005862864461888312
271,ADM,US0394831020,ARCHER DANIELS MIDLAND,2120,27465955.000000004,0.0005849966017539438
272,PEG,US7445731067,PUBLIC SVC ENTERPRISE,2190,27295801.000000004,0.0005813724965016472
273,FANG,US25278X1090,DIAMONDBACK ENERGY INC,850,27290979.000000004,0.0005812697928594962
274,DHI,US23331A1097,DR HORTON INC,1160,27131915.000000004,0.000577881893204764
275,PAYX,US7043261079,PAYCHEX INC,1420,26549112,0.0005654687885269181
276,WAT,US9418481035,WATERS CORP,430,26282381,0.0005597876924724598
277,KVUE,US49177J1025,KENVUE INC,8463,26264948.000000004,0.0005594163874965951
278,IRM,US46284V1017,IRON MOUNTAIN INC,1310,26242104.000000004,0.000558929833784173
279,KMB,US4943681035,KIMBERLY-CLARK CORP,1460,25856216.000000004,0.0005507108161436931
280,COIN,US19260Q1076,COINBASE GLOBAL INC -CLASS A,980,25764766,0.0005487630251700896
281,CCL,BMG2004J1036,CARNIVAL CORP,5700,25440208.000000004,0.0005418502734717761
282,MTB,US55261F1049,M & T BANK CORP,640,25406618,0.0005411348410080981
283,WEC,US92939U1060,WEC ENERGY GROUP INC,1430,25292747,0.0005387095057871556
284,EME,US29084Q1004,EMCOR GROUP INC,195,25146597.000000004,0.0005355966610546008
285,ACGL,BMG0450A1053,ARCH CAPITAL GROUP LTD,1530,24870488,0.0005297158232423463
286,VMC,US9291601097,VULCAN MATERIALS CO,570,24848405,0.0005292454780474848
287,HBAN,US4461501045,HUNTINGTON BANCSHARES INC,8900,24431369.000000004,0.0005203630400325293
288,STLD,US8581191009,STEEL DYNAMICS,600,24349080,0.0005186103689398354
289,NTAP,US64110D1046,NETAPP INC,870,24326997.000000004,0.0005181400237449739
290,NTRS,US6658591044,NORTHERN TRUST CORP,810,23759736.000000004,0.0005060579476872675
291,CCI,US22822V1017,CROWN CASTLE INC,1920,23609639.000000004,0.0005028610359129104
292,EXPE,US30212P3038,EXPEDIA GROUP INC,500,23539855.000000004,0.0005013747084629164
293,KR,US5010441013,KROGER CO,2500,23248148.000000004,0.0004951616492881003
294,EQT,US26884L1098,EQT CORP,2740,23212050.000000004,0.0004943927990030797
295,ON,US6821891057,ON SEMICONDUCTOR CORPORATION,1720,23148952,0.0004930488764787228
296,WDAY,US98138H1014,WORKDAY INC-CLASS A,900,22870295,0.0004871137688862525
297,JBL,US4663131039,JABIL INC,460,22809254,0.0004858136583469444
298,CASY,US1475281036,CASEY S GENERAL STORES INC,163,22726210,0.0004840449065305209
299,WTW,IE00BDB6Q211,WILLIS TOWERS WATSON PLC,420,22684182,0.0004831497533425646
300,MLM,US5732841060,MARTIN MARIETTA MATERIALS,260,22565088.000000004,0.0004806131735917683
301,ZTS,US98978V1035,ZOETIS INC,1840,22483957,0.00047888516670845034
302,GEHC,US36266G1076,GE HEALTHCARE TECHNOLOGIES INC,2000,22481514,0.00047883313332027633
303,EXR,US30225T1025,EXTRA SPACE STORAGE INC,930,22152889,0.0004718337587035412
304,CBOE,US12503M1080,CBOE GLOBAL MARKETS INC,460,21922079.000000004,0.0004669177430160901
305,TPR,US8760301072,TAPESTRY INC,890,21825165,0.0004648535744604224
306,BIIB,US09062X1037,BIOGEN INC,650,21722031,0.0004626569262999892
307,RMD,US7611521078,RESMED INC,640,21452648.000000004,0.000456919345372245
308,CFG,US1746101054,CITIZENS FINANCIAL GROUP,1860,21442909,0.0004567119146856192
309,EIX,US2810201077,EDISON INTERNATIONAL,1690,21384391,0.00045546554145223125
310,VEEV,US9224751084,VEEVA SYSTEMS INC-CLASS A,660,21380517.000000004,0.0004553830292353725
311,RJF,US7547301090,RAYMOND JAMES FINANCIAL INC,760,21372096,0.00045520367059361503
